OMRÅDE;ENHED;BOERNALD;BOERNAL1;TID;INDHOLD
København;Familier;0 år;12 år;1986;32299
København;Familier;0 år;12 år;1987;31777
København;Familier;0 år;12 år;1988;31665
København;Familier;0 år;12 år;1989;31679
København;Familier;0 år;12 år;1990;32028
København;Familier;0 år;12 år;1991;32482
København;Familier;0 år;12 år;1992;33140
København;Familier;0 år;12 år;1993;34056
København;Familier;0 år;12 år;1994;34771
København;Familier;0 år;12 år;1995;35885
København;Familier;0 år;12 år;1996;37172
København;Familier;0 år;12 år;1997;38405
København;Familier;0 år;12 år;1998;39150
København;Familier;0 år;12 år;1999;39921
København;Familier;0 år;12 år;2000;40907
København;Familier;0 år;12 år;2001;41841
København;Familier;0 år;12 år;2002;42528
København;Familier;0 år;12 år;2003;43064
København;Familier;0 år;12 år;2004;43657
København;Familier;0 år;12 år;2005;43696
København;Familier;0 år;12 år;2006;43380
København;Familier;0 år;12 år;2007;43875
København;Familier;0 år;12 år;2008;44481
København;Familier;0 år;12 år;2009;45471
København;Familier;0 år;12 år;2010;46844
København;Familier;0 år;12 år;2011;48290
København;Familier;0 år;12 år;2012;49810
København;Familier;0 år;12 år;2013;50959
København;Familier;0 år;12 år;2014;51868
København;Familier;0 år;12 år;2015;52799
København;Familier;0 år;12 år;2016;53614
København;Familier;0 år;12 år;2017;55014
København;Familier;0 år;12 år;2018;56008
København;Familier;0 år;12 år;2019;56997
København;Familier;0 år;12 år;2020;57719
København;Familier;0 år;12 år;2021;57310
København;Familier;0 år;12 år;2022;56661
København;Familier;0 år;12 år;2023;56603
København;Familier;0 år;12 år;2024;55923
Frederiksberg;Familier;0 år;12 år;1986;5638
Frederiksberg;Familier;0 år;12 år;1987;5428
Frederiksberg;Familier;0 år;12 år;1988;5363
Frederiksberg;Familier;0 år;12 år;1989;5260
Frederiksberg;Familier;0 år;12 år;1990;5374
Frederiksberg;Familier;0 år;12 år;1991;5437
Frederiksberg;Familier;0 år;12 år;1992;5534
Frederiksberg;Familier;0 år;12 år;1993;5693
Frederiksberg;Familier;0 år;12 år;1994;5892
Frederiksberg;Familier;0 år;12 år;1995;6059
Frederiksberg;Familier;0 år;12 år;1996;6306
Frederiksberg;Familier;0 år;12 år;1997;6587
Frederiksberg;Familier;0 år;12 år;1998;6716
Frederiksberg;Familier;0 år;12 år;1999;6897
Frederiksberg;Familier;0 år;12 år;2000;7114
Frederiksberg;Familier;0 år;12 år;2001;7374
Frederiksberg;Familier;0 år;12 år;2002;7523
Frederiksberg;Familier;0 år;12 år;2003;7644
Frederiksberg;Familier;0 år;12 år;2004;7836
Frederiksberg;Familier;0 år;12 år;2005;7852
Frederiksberg;Familier;0 år;12 år;2006;7815
Frederiksberg;Familier;0 år;12 år;2007;7992
